,ResponseId,ExternalReference,HUB_01,MOTIVATION_01,MOTIVATION_01_8_TEXT,PROFICIENCY_01,PROFICIENCY_02,PROFICIENCY_03,PROFICIENCY_05,PROFICIENCY_04,PRIOR_01,PRIOR_02,PRIOR_02_17_TEXT,PRIOR_05,PRIOR_06,PRIOR_06_3_TEXT,PRIOR_07,PRIOR_04,BELONG_01,BELONG_02,MENTOR_02,MENTOR_03,MENTOR_06_1,MENTOR_06_2,MENTOR_06_3,MENTOR_06_4,MENTOR_06_5,MENTOR_06_6,MENTOR_07_1,MENTOR_07_2,MENTOR_07_3,MENTOR_07_4,MENTOR_07_5,MENTOR_08,ACCESS_01,ACCESS_01_7_TEXT,PLANS_01,PLANS_02,PLANS_02_9_TEXT,PLANS_03,INTEREST_01,INTEREST_02,INTEREST_03,INTEREST_04,INTEREST_05,INTEREST_06,TESTIMONIAL,END,TIME_IN_PROGRAM,START,CLUSTER_SIZE
35,R_3zkXI9fpdDPenCs,REDACTED,Social Sciences,"To shape knowledge, not just consume it,To gain hands-on skills,To prepare for graduate school",,Excellent,Good,Very Good,Good,Good,Yes,"Reached out directly to a professor,Seminar or conference,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,Some were funded positions (rather than just based upon work study eligibility),"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Interesting project,Skills gained,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in a different group.",,,Position secured or offered accepted,"I would be interested, but I am not eligible due to graduating this semester",,Year long,May,June,,,2026_05_16,2.0,2025_10_01,4.0
36,R_3rx6GmxNPV3ZbFc,REDACTED,NASA Biosciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Fair,Fair,Very Good,Excellent,Very Good,No,,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,I thought it fit my views most closely ,It extended my skills in AI,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,"Yes, in the same group.",,,Generally considering,Yes,If it was more engineering related ,Year long,June,April,,I don’t know ,2026_05_16,,,4.0
37,R_33gjqEWqDsF5rbm,REDACTED,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Good,Fair,Very Good,Fair,Good,Yes,Reached out directly to a professor,,"My Discovery Hub research is in the same lab as my prior research experience, so the work I am actively doing is not materially different. The Discovery Hub provides a more formal framework for mentorship and a larger community to connect with outside my lab.","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,My mentor recommended it.,My research experience in the Discovery Hubs has allowed me to explore my interest in sustainable chREDACTED technologies.,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offer accepted,Yes,,Semester long,May,July,,,2025_12_13,1.0,2025_10_01,2.0
38,R_1zTvekgNc4w54WL,REDACTED,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Very Good,Excellent,Poor,Fair,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC)",,"With the Discovery Hub, it's more engaging &. ""real-world"" + better/stronger relationship with mentors","Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,Learned a lot and gained skills at a national lab!,Somewhat Agree,Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,3-4 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Strongly considering,Yes,,Year with possibility of extending into summer,June,August,,"This was a great opportunity to do ""real"" research at a national lab, and to have great mentors guiding you through it. It was fun, educational, and really shaped my skills as a researcher.  ",2026_05_16,2.0,2025_10_01,
39,R_1Duu1GSm3aCo3UR,REDACTED,UCSF Anesthesia and Perioperative Care,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application)",,Very Good,Very Good,Very Good,Very Good,Very Good,Yes,Friend or acquaintance connected me to a research group,,This is a wet lab experience ,Reaching out directly to a professor,,I enjoy my research at UCSF,it’s helped me engage with academics ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,3-4 hrs/week,"Lack of interest,Transportation to/from research site (cost or time)",,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,,Year long,April,April,,,2026_05_16,,,
40,R_7ihDJRofbrBpslJ,REDACTED,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To prepare for graduate school",,Very Good,Good,Very Good,Good,Good,No,,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Unique opportunity for research ,Gained many skills and knowledge of research in general,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,No.,Other,,Position secured or offered accepted,Yes,,Year long,June,August,,,2026_05_16,,,3.0
41,R_6sBcbobCoVcNLfV,REDACTED,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Fair,Very Good,Good,Very Good,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,"Discovery felt much more grass-roots and had much more choosing-power applied to the grad student. This permits an underserved student like myself to access research via a 1-1 connection, instead of via a resume.","Monumental. I went from having discounted grad school and giving up on research, to being confident in my own abilities and capabilities to perform research",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,3-4 hrs/week,"My job responsibilties and work hours,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in the same group.",,,Strongly considering,"I would be interested, but I am not eligible due to graduating this semester",Some form of funding not attached to being an active undergrad.,Year with possibility of extending into summer,March,June,,,2026_05_16,,,2.0
42,R_6gEOrEdqpemlkFr,REDACTED,CICI,To make my undergraduate experience complete,,Excellent,Excellent,Excellent,Excellent,Excellent,No,,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Application process was straightforward and research was of interest ,Incredible. Mentor was so caring and focused and motivated us to learn more ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,,,No.,Other,HAAS - SURF,Exploring options,Yes,,Spring with possibility of extending into summer,August,August,,,2026_05_16,2.0,2025_10_01,5.0
43,R_6dNcuGK8MRKpOs2,REDACTED,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections",,Excellent,Very Good,Excellent,Fair,Good,Yes,Other,,CICI was more interactive and structured,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,The topic! And mentor,Directly relevant to my academic interest ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,No.,Government / nonprofit.,,,"I would be interested, but I am not eligible due to graduating this semester",,Year long,,,,This program was amazing. I had access to resources to explore questions and topics that are not common of accessible in a classroom setting,2026_05_16,2.0,2025_10_01,4.0
44,R_5jwyLOdt8DMKz5o,REDACTED,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Excellent,Excellent,Excellent,Excellent,Yes,Reached out directly to a professor,,More opportunities for mentorship. ,Reaching out directly to a professor,,My mentor was involved. ,Discovery hubs has been beneficial and a great opportunity to learn. ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,,,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year long,March,April,,,2026_05_16,2.0,2025_10_01,2.0
45,R_5N2kbWIjY7ty8wk,REDACTED,CNMAT,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application)",,Very Good,Excellent,Fair,Poor,Excellent,Yes,Reached out directly to a professor,,I got this chance of final presentation and exercise myself ,Reaching out directly to a professor,,Exercise myself,"Learn new things, exercise my presentation skill",Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester",,Semester long,April,May,,,2026_05_16,,,
46,R_52IU9LKTX1YOnpm,REDACTED,CICI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To build mentorship connections",,Excellent,Excellent,Excellent,Fair,Very Good,No,,,,Reaching out directly to a professor,,The topics and freedom to work interdisciplinarily! ,"I’ve gained such a large critical and intellectual vocabulary, and gained confidence in sharing my critical thought with others ",Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments",,"Yes, in a different group.",,,Strongly considering,Yes,,Semester long,June,July,,Getting to work on such a specific field for so long was very valuable ,2026_05_16,,,
47,R_3hSGUkKzrZdSquB,REDACTED,Kavli ENSI,To make my undergraduate experience complete,,Good,Excellent,Excellent,Excellent,Excellent,No,,,,Reaching out directly to a professor,,It sounded interesting ,It made me more interested in research.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,Yes,Semester long,April,March,,It was great,2026_05_16,2.0,2025_10_01,4.0
48,R_3dfH3sNeYVFXxVo,REDACTED,Kavli ENSI,To prepare for graduate school,,Good,Good,Good,Good,Good,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,They accepted me.,This program has solidified both my plans to apply to graduate school and my plan to change majors in graduate school.,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in the same group.",,,Position secured or offered accepted,Yes,My mentor.,Year with possibility of extending into summer,July,August,,,2026_05_16,2.0,2025_10_01,4.0
49,R_30PBQBmUI3N1vbQ,REDACTED,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections",,Good,Very Good,Good,Very Good,Good,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,First program to accept me,Discovery Hubs helped me get into a formal research environment where I’ve learned how to plan out experiments using the knowledge I’ve gained from classes. ,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in the same group.",,,Position secured or offered accepted,Yes,Paid opportunities ,Year with possibility of extending into summer,May,June,,,2026_05_16,2.0,2025_10_01,
50,R_1EzOMtsFZ08MfAR,REDACTED,NASA Biosciences,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Good,Good,Good,Good,Good,No,,,,Reaching out directly to a professor,,I didn’t get other research opportunities ,"I learned the structure of research
",Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,If there was something more aligned with my major,Year long,April,April,,,2026_05_16,2.0,2025_10_01,5.0
51,R_7uqIpeafWD5wH61,REDACTED,CICI,To make my undergraduate experience complete,,Excellent,Very Good,Excellent,Very Good,Very Good,No,,,,Other,No,It was my only avenue,I learned what humanities research actually looks like and was able to make informed decisions about my future.,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours,My family responsibilities/commitments,Transportation to/from research site (cost or time)",,"Yes, in a different group.",,,Exploring options,"I would be interested, but I am not eligible due to graduating this semester",,Year long,,,,"This was the most in depth learning experience I had at Berkeley, and it profoundly changed my understanding of the University. ",2026_05_16,2.0,2025_10_01,4.0
52,R_6UTHywwEiJjKQ4F,REDACTED,Molecular Foundry,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Very Good,Good,Very Good,Good,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,The opportunity I was accepted into was the most applicable to my plans and felt like it had the greatest room for growth,It has helped encourage me to want to pursue academia,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,3-4 hrs/week,"My academic workload and responsibilities,My job responsibilties and work hours",,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Semester long,July,August,,,2026_05_16,,,
53,R_5HpIRFe5mz5jHQb,REDACTED,CICI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Very Good,Excellent,Very Good,Excellent,No,,,,,,,"As an aspiring academic, Discovery Hubs has provided a platform for me to explore my specific interests in Eastern European and Soviet film theories and works. I have changed my major to Film because this program has sparked an interest in the field. ",Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in a different group.",,,Generally considering,Yes,If the mentor was more active.,Semester long,August,August,,"I appreciate this program, and I believe it will aid me in my future prospects in academia. ",2026_05_16,,,
54,R_51yhDRJ8DqDpe3u,REDACTED,Molecular Foundry,"To explore career interests,To build mentorship connections,To prepare for graduate school",,Excellent,Excellent,Excellent,Excellent,Excellent,Yes,,,,Reaching out directly to a professor,,The mentor and specific research experience,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,More than 5 hrs/week,My academic workload and responsibilities,,"Yes, in the same group.",,,Position secured or offer accepted,Yes,,Semester long,July,July,,"The Discovery Research Hub program was transformative for my academic and professional growth, particularly in connecting theoretical knowledge with real-world, high-stakes engineering problems.

The most special and impactful aspect of the program was the opportunity to work directly on the Micro-fluidic devices project, specifically appREDACTEDg advanced machine learning techniques to a critical aerospace challenge: modeling the performance of next-generation turbine blades.",2025_12_13,1.0,2025_10_01,
55,R_3ueO9Oyf00QD1Jv,REDACTED,Molecular Foundry,"To gain hands-on skills,To explore career interests,To prepare for graduate school",,Good,Good,Good,Very Good,Good,Yes,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars, UCDC),Other",,My other research experiences were on university campuses through summer terms. It was great to be supported through a semester!,,,,"I was trained on the scanning electron microscope this semester, which is a great new tool for my future research endeavors. This discovery program allowed me to continue practicing my research skills and continue forward on my research project.",Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,Transportation to/from research site (cost or time)",,"Yes, in the same group.",,,Actively appREDACTEDg,"I would be interested, but I am not eligible due to graduating this semester",,Year with possibility of extending into summer,July,July,,,2025_12_13,1.0,2025_10_01,
56,R_3kvuaTZ6OT07zRn,REDACTED,Molecular Foundry,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections",,Very Good,Excellent,Excellent,Poor,Very Good,No,,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,Because of their commitment to intellectual development and scientific objectIvity,My new skills and experienced game allows me to move into higher impact positions and a greater career trajectory,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,More than 5 hrs/week,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra'),Transportation to/from research site (cost or time)",,"Yes, in the same group.",,,Strongly considering,Yes,School credits,Year long,,June,,,2026_05_16,1.0,2026_02_28,
57,R_3jcF3Ng3IxFrzk2,REDACTED,Social Sciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Very Good,Very Good,Good,Very Good,No,,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,It was a program I hadn't heard of before and I liked their approach of having more structure; research apprentices became very integrated into their respective projects and it never felt like we were just completing busy work. ,"Participating in the Discovery Hubs made me more interested in potentially pursuing a pHD and continuing to research topics I'm passionate about. Additionally, it was truly a great experience to work in such a small group of other passionate students and the project strengthened my analysis/critical thinking skills overall. ",Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,1-2 hrs/wk,,,"Yes, in a different group.",,,Strongly considering,Yes,,Year long,June,August,,"Over my last 2 years at Berkeley, I've struggled to find people to intellectually engage with. Many of my classes are lecture-heavy and there are few opportunities to work thoughtfully in small groups. My experience in the Discovery Research Hub was the first time I've felt like my intellectual contributions were truly valued by other people and the structure of the program was incredibly conducive to my learning. ",2026_05_16,,,4.0
58,R_3YKymaAohGdQNU6,REDACTED,Kavli ENSI,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Very Good,Excellent,Fair,Excellent,Very Good,Yes,Other,Off campus application,,,,,,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,My job responsibilties and work hours",,"Yes, in a different group.",,,Actively appREDACTEDg,Yes,"More related to hardware/electrical engineering
",Year long,April,June,,,2025_12_13,,,3.0
59,R_3QFcojTQbHkKEXG,REDACTED,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To explore career interests,To build mentorship connections,To prepare for graduate school",,Good,Very Good,Very Good,Good,Very Good,Yes,"Participated in the Discovery Hubs in a previous academic term,Reached out directly to a professor,Friend or acquaintance connected me to a research group",,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,1-2 hrs/wk,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in a different group.",,,Actively appREDACTEDg,Yes,Funding would be greatly appreciated,Year with possibility of extending into summer,May,June,,,2026_05_16,,,4.0
60,R_1pYU6sXQm3ffw82,REDACTED,Kavli ENSI,"To make my undergraduate experience complete,To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To gain hands-on skills,To explore career interests",,Good,Very Good,Very Good,Fair,Good,Yes,Other,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,I was able to explore the physics-adjacent side of materials science in more depth.,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"More than zero, but less than one hour per week",My academic workload and responsibilities,,,,,Exploring options,Yes,,Year long,July,August,,Discovery Hubs provided me with the opportunity to do materials physics research at a national lab starting in my very first year at Berkeley - I learned a lot both in terms of the topics I was studying as well as my future career interests regarding going into industry vs. academia. I'm very grateful for the opportunity!,2026_05_16,2.0,2025_10_01,3.0
61,R_10lag69duPVY7jJ,REDACTED,NASA Biosciences,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills",,Very Good,Very Good,Very Good,Very Good,Good,No,,,,Reaching out directly to a professor,,Best program for me.,"Lots of work, lots of skills gained.",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,3-4 hrs/week,"My academic workload and responsibilities,My family responsibilities/commitments,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,"Yes, in the same group.",,,Actively appREDACTEDg,Yes,,Year long,May,July,,,2026_05_16,2.0,2025_10_01,5.0
62,R_8Qxjb6jgz5CQVs2,REDACTED,CNMAT,To make my undergraduate experience complete,,Excellent,Excellent,Excellent,Excellent,Excellent,Yes,Seminar or conference,,,Reaching out directly to a professor,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,My academic workload and responsibilities,,"Yes, in the same group.",,,Strongly considering,Yes,,Semester long,March,March,,,2026_05_16,,,
63,R_7byxfsAeCl0bxHr,REDACTED,Social Sciences,To gain hands-on skills,,Excellent,Very Good,Excellent,Good,Excellent,Yes,Participated in the Discovery Hubs in a previous academic term,,,,,,,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,"More than zero, but less than one hour per week","Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,No.,"Non-academic/industry research.,Artistic / creative endeavors.,Teaching / education.",,Actively appREDACTEDg,Yes,,Semester long,July,August,,,2026_05_16,,,4.0
64,R_7VMAlfwWAAuwx2N,REDACTED,Molecular Foundry,"To engage in more active learning compared to the traditional classroom experience (e.g., reading textbooks with no application),To shape knowledge, not just consume it,To gain hands-on skills,To build mentorship connections",,Excellent,Excellent,Excellent,Fair,Excellent,Yes,Reached out directly to a professor,,,"Reaching out directly to a professor,Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,Transportation to/from research site (cost or time)",,"Yes, in the same group.",,,Position secured or offered accepted,Yes,,Year with possibility of extending into summer,June,May,,,2026_05_16,1.0,2026_02_28,
65,R_6B8qw0z58XBMQMu,REDACTED,Social Sciences,"To make my undergraduate experience complete,To shape knowledge, not just consume it",,Good,Good,Fair,Fair,Fair,No,,,,"Another program on campus (URAP, SURF, Rose Hills, Haas Scholars)",,,,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,1-2 hrs/wk,My academic workload and responsibilities,,No.,Business / consulting.,,Exploring options,Yes,,Semester long,June,July,,,2026_05_16,,,2.0
66,R_5R3sQNiUKrBflWC,REDACTED,CICI,To make my undergraduate experience complete,,Excellent,Excellent,Excellent,Excellent,Excellent,No,,,,Reaching out directly to a professor,,Really loved the topic! ,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Agree,Strongly Agree,1-2 hrs/wk,"My academic workload and responsibilities,Financial concerns (e.g., related expenses, need for paid work left no time for something that feels 'extra')",,No.,"Professional practice.,Teaching / education.,Government / nonprofit.",,Position secured or offered accepted,Yes,,Year long,August,August,,,2026_05_16,,,4.0
